CLIENT1;1 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
CLIENT2;2 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
CLIENT3;3 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
CLIENT4;4 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
CLIENT5;5 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
CLIENT6;6 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
CLIENT7;7 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
CLIENT8;8 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
CLIENT9;9 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
CLIENT10;10 Avenue  du gal de lattre de tassigny ;92370;CHAVILLE;FR;5;06 10 45 67 89;client1@gmail.com
